zipcode,total_living_area,neighborhood
02090,3609.0,Westwood
02108,11190282.0,Back Bay/Beacon Hill
02109,14424061.0,Central Boston
02110,25433903.0,Central Boston
02111,17066537.0,Central Boston
02112,0.0,Central Boston
02113,4489364.0,Central Boston
02114,24452093.0,Central Boston
02115,34582582.0,Fenway/Kenmore
02116,42617824.0,Back Bay/Beacon Hill
02118,23094853.0,South End
02119,22611597.0,Roxbury
02120,9504705.0,Roxbury
02121,15876179.0,Roxbury
02122,14886110.0,Dorchester
02124,29262760.0,Dorchester
02125,23747476.0,Dorchester
02126,11961337.0,Mattapan
02127,32525939.0,South Boston
02128,29288184.0,East Boston
02129,18650157.0,Charlestown
02130,24799969.0,Jamaica Plain
02131,17321462.0,Roslindale
02132,20121343.0,West Roxbury
02133,414936.0,Back Bay/Beacon Hill
02134,16005084.0,Allston/Brighton
02135,33700036.0,Allston/Brighton
02136,19675936.0,Hyde Park
02137,5816.0,Dedham
02186,3064.0,Milton
02199,1300706.0,Back Bay/Beacon Hill
02201,16158.0,Central Boston
02210,17611325.0,South Boston
02215,20463602.0,Fenway/Kenmore
02445,59966.0, Brookline
02446,21907.0, Brookline
02467,1344313.0, Brookline
02114,794.0,Central Boston
02116,2710.0,Back Bay/Beacon Hill
02118,10365.0,South End
02120,95688.0,Roxbury
02131,0.0,Roslindale
