zipcode,total_res_units,total_com_units,total_rc_units
02108,1163.0,233.0,2.0
02109,1295.0,89.0,8.0
02110,922.0,293.0,0.0
02111,1673.0,177.0,285.0
02113,1137.0,39.0,28.0
02114,2941.0,113.0,4.0
02115,2626.0,32.0,1.0
02116,6533.0,165.0,29.0
02118,4776.0,151.0,13.0
02119,856.0,21.0,7.0
02120,461.0,6.0,3.0
02121,354.0,9.0,0.0
02122,1311.0,9.0,4.0
02124,1548.0,24.0,6.0
02125,1679.0,19.0,2.0
02126,240.0,2.0,0.0
02127,5767.0,74.0,13.0
02128,1422.0,16.0,11.0
02129,3213.0,30.0,7.0
02130,4250.0,41.0,45.0
02131,1394.0,14.0,5.0
02132,1161.0,15.0,2.0
02134,1914.0,40.0,0.0
02135,4079.0,35.0,2.0
02136,687.0,13.0,74.0
02199,15.0,0.0,0.0
02210,670.0,40.0,3.0
02215,2242.0,47.0,3.0
02446,3.0,0.0,0.0
02467,576.0,0.0,0.0
