zipcode,total_res_units,total_com_units,total_rc_units,Year,total_units
02108,1031,216,2,2009,1249
02109,1199,84,8,2009,1291
02110,872,273,0,2009,1145
02111,1635,154,285,2009,2074
02113,1132,38,28,2009,1198
02114,3334,105,2,2009,3441
02115,2806,47,3,2009,2856
02116,15977,362,173,2009,16512
02118,6709,199,25,2009,6933
02119,1321,36,7,2009,1364
02120,475,5,0,2009,480
02121,402,3,0,2009,405
02122,1384,6,10,2009,1400
02124,1628,32,54,2009,1714
02125,1655,15,2,2009,1672
02126,357,2,0,2009,359
02127,6901,61,26,2009,6988
02128,1345,24,10,2009,1379
02129,3222,30,7,2009,3259
02130,5586,39,51,2009,5676
02131,1540,30,14,2009,1584
02132,1504,15,2,2009,1521
02134,2044,31,0,2009,2075
02135,4117,26,2,2009,4145
02136,582,5,0,2009,587
02199,15,0,0,2009,15
02210,580,29,0,2009,609
02215,2032,44,3,2009,2079
02446,3,0,0,2009,3
02467,934,0,0,2009,934
02108,1027,216,2,2010,1245
02109,1302,89,8,2010,1399
02110,916,278,0,2010,1194
02111,1671,169,285,2010,2125
02113,1162,39,28,2010,1229
02114,3344,106,2,2010,3452
02115,2818,47,3,2010,2868
02116,16198,370,173,2010,16741
02118,6834,199,25,2010,7058
02119,1344,36,7,2010,1387
02120,474,5,0,2010,479
02121,424,2,0,2010,426
02122,1459,13,10,2010,1482
02124,1760,32,54,2010,1846
02125,1730,16,2,2010,1748
02126,365,2,0,2010,367
02127,7153,68,26,2010,7247
02128,1383,26,10,2010,1419
02129,3268,30,7,2010,3305
02130,5774,44,51,2010,5869
02131,1498,30,14,2010,1542
02132,1441,15,2,2010,1458
02134,2096,36,0,2010,2132
02135,4127,27,2,2010,4156
02136,618,5,0,2010,623
02199,15,0,0,2010,15
02210,669,34,3,2010,706
02215,2300,48,3,2010,2351
02446,3,0,0,2010,3
02467,934,0,0,2010,934
02108,1169,220,2,2011,1391
02109,1286,89,8,2011,1383
02110,916,286,0,2011,1202
02111,1672,171,285,2011,2128
02113,1146,39,28,2011,1213
02114,2954,111,4,2011,3069
02115,2624,32,1,2011,2657
02116,6401,169,29,2011,6599
02118,4650,154,13,2011,4817
02119,844,21,7,2011,872
02120,461,5,0,2011,466
02121,373,5,0,2011,378
02122,1313,9,4,2011,1326
02124,1596,22,6,2011,1624
02125,1624,18,2,2011,1644
02126,348,2,0,2011,350
02127,5358,66,10,2011,5434
02128,1395,14,10,2011,1419
02129,3149,30,7,2011,3186
02130,4260,41,41,2011,4342
02131,1306,14,5,2011,1325
02132,1109,15,2,2011,1126
02134,1948,40,0,2011,1988
02135,3915,27,2,2011,3944
02136,601,5,0,2011,606
02199,15,0,0,2011,15
02210,670,35,3,2011,708
02215,2253,48,3,2011,2304
02446,3,0,0,2011,3
